huc12_id_AZ,year,tecuftot_mgd_AZ,tecufgw_mgd_AZ,tecufsw_mgd_AZ,huc12_id_CA,year,tecuftot_mgd_CA,tecufgw_mgd_CA,tecufsw_mgd_CA,huc12_id_FL,year,tecuftot_mgd_FL,tecufgw_mgd_FL,tecufsw_mgd_FL,huc12_id_IL,year,tecuftot_mgd_IL,tecufgw_mgd_IL,tecufsw_mgd_IL,huc12_id_MD,year,tecuftot_mgd_MD,tecufgw_mgd_MD,tecufsw_mgd_MD,huc12_id_ME,year,tecuftot_mgd_ME,tecufgw_mgd_ME,tecufsw_mgd_ME,huc12_id_SD,year,tecuftot_mgd_SD,tecufgw_mgd_SD,tecufsw_mgd_SD,huc12_id_TX,year,tecuftot_mgd_TX,tecufgw_mgd_TX,tecufsw_mgd_TX,huc12_id_UT,year,tecuftot_mgd_UT,tecufgw_mgd_UT,tecufsw_mgd_UT,huc12_id_WA,year,tecuftot_mgd_WA,tecufgw_mgd_WA,tecufsw_mgd_WA
1.50501E+11,2008,0,0,0,1.80701E+11,2008,0,0,0,31001010801,2008,0,0,0,71401060302,2008,0,0,0,20600060101,2008,0,0,0,10400010102,2008,0,0,0,1.01301E+11,2008,0,0,0,1.20902E+11,2008,0,0,0,1.60201E+11,2008,0,0,0,1.702E+11,2008,0,0,0
1.50501E+11,2009,0,0,0,1.80701E+11,2009,0,0,0,31001010801,2009,0,0,0,71401060302,2009,0,0,0,20600060101,2009,0,0,0,10400010102,2009,0,0,0,1.01301E+11,2009,0,0,0,1.20902E+11,2009,0,0,0,1.60201E+11,2009,0,0,0,1.702E+11,2009,0,0,0
1.50501E+11,2010,0,0,0,1.80701E+11,2010,0,0,0,31001010801,2010,0,0,0,71401060302,2010,0,0,0,20600060101,2010,0,0,0,10400010102,2010,0,0,0,1.01301E+11,2010,0,0,0,1.20902E+11,2010,0,0,0,1.60201E+11,2010,0,0,0,1.702E+11,2010,0,0,0
1.50501E+11,2011,0,0,0,1.80701E+11,2011,0,0,0,31001010801,2011,0,0,0,71401060302,2011,0,0,0,20600060101,2011,0,0,0,10400010102,2011,0,0,0,1.01301E+11,2011,0,0,0,1.20902E+11,2011,0,0,0,1.60201E+11,2011,0,0,0,1.702E+11,2011,0,0,0
1.50501E+11,2012,0,0,0,1.80701E+11,2012,0,0,0,31001010801,2012,0,0,0,71401060302,2012,0,0,0,20600060101,2012,0,0,0,10400010102,2012,0,0,0,1.01301E+11,2012,0,0,0,1.20902E+11,2012,0,0,0,1.60201E+11,2012,0,0,0,1.702E+11,2012,0,0,0
1.50501E+11,2013,0,0,0,1.80701E+11,2013,0,0,0,31001010801,2013,0,0,0,71401060302,2013,0,0,0,20600060101,2013,0,0,0,10400010102,2013,0,0,0,1.01301E+11,2013,0,0,0,1.20902E+11,2013,0,0,0,1.60201E+11,2013,0,0,0,1.702E+11,2013,0,0,0
1.50501E+11,2014,0,0,0,1.80701E+11,2014,0,0,0,31001010801,2014,0,0,0,71401060302,2014,0,0,0,20600060101,2014,0,0,0,10400010102,2014,0,0,0,1.01301E+11,2014,0,0,0,1.20902E+11,2014,0,0,0,1.60201E+11,2014,0,0,0,1.702E+11,2014,0,0,0
1.50501E+11,2015,0,0,0,1.80701E+11,2015,0,0,0,31001010801,2015,0,0,0,71401060302,2015,0,0,0,20600060101,2015,0,0,0,10400010102,2015,0,0,0,1.01301E+11,2015,0,0,0,1.20902E+11,2015,0,0,0,1.60201E+11,2015,0,0,0,1.702E+11,2015,0,0,0
1.50501E+11,2016,0,0,0,1.80701E+11,2016,0,0,0,31001010801,2016,0,0,0,71401060302,2016,0,0,0,20600060101,2016,0,0,0,10400010102,2016,0,0,0,1.01301E+11,2016,0,0,0,1.20902E+11,2016,0,0,0,1.60201E+11,2016,0,0,0,1.702E+11,2016,0,0,0
1.50501E+11,2017,0,0,0,1.80701E+11,2017,0,0,0,31001010801,2017,0,0,0,71401060302,2017,0,0,0,20600060101,2017,0,0,0,10400010102,2017,0,0,0,1.01301E+11,2017,0,0,0,1.20902E+11,2017,0,0,0,1.60201E+11,2017,0,0,0,1.702E+11,2017,0,0,0
1.50501E+11,2018,0,0,0,1.80701E+11,2018,0,0,0,31001010801,2018,0,0,0,71401060302,2018,0,0,0,20600060101,2018,0,0,0,10400010102,2018,0,0,0,1.01301E+11,2018,0,0,0,1.20902E+11,2018,0,0,0,1.60201E+11,2018,0,0,0,1.702E+11,2018,0,0,0
1.50501E+11,2019,0,0,0,1.80701E+11,2019,0,0,0,31001010801,2019,0,0,0,71401060302,2019,0,0,0,20600060101,2019,0,0,0,10400010102,2019,0,0,0,1.01301E+11,2019,0,0,0,1.20902E+11,2019,0,0,0,1.60201E+11,2019,0,0,0,1.702E+11,2019,0,0,0
